M,6.0,7.0,9.0,12.0,15.0,20.0
Mrem,1.3,1.3,1.354,1.483,1.839,2.04
H,3.113,3.541,4.336,5.408,6.379,8.117
He,1.548,2.11,2.585,3.758,4.558,5.743
C,0.003117,0.003267,0.1271,0.08065,0.1198,0.1302
N,0.008186,0.01168,0.01413,0.02242,0.02824,0.0354
O,0.01509,0.01698,0.2174,0.6922,1.305,2.844
Ne,0.0006483,0.0007814,0.01185,0.1201,0.1448,0.1089
Mg,0.001102,0.001337,0.004026,0.03472,0.05242,0.04502
Si,0.001401,0.001699,0.04147,0.09518,0.2044,0.3726
S,0.000754,0.0009145,0.02809,0.045,0.09923,0.1948
Ca,0.0001358,0.0001647,0.005723,0.007602,0.01339,0.02017
Fe,0.002485,0.003013,0.06977,0.07953,0.06023,0.09745
Other,0.006080900000000611,0.009163399999999378,0.20544100000000043,0.17359800000000014,0.19649000000000072,0.251459999999998
